Flipkart Customer,340d011564744c73bbbc7a539712b3d0,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,1,Bad Courier Service,"First of all dispached on time but courier boy/courier partner give negative feed back that COD amount not ready, mention this in order status without visiting my address. After 4-6 complaint I got this device.
 
 

   READ MORE
  
",7,3,14-Oct-17
Pranjal Jain,53d0357b2e0149eb84dcf9d5f2c8b3c4,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Excellent,"I got it with xchange offer in 18000/-
  
  Perfect phone
  
  Prefect selfie
  
  Its a definition of a camera phone
  
  Battery 9/10
  
  Front camera 10/10
  
  Rear camera 9.5/10
  
  Display 10
  
  Performance 9
  
  Autofocus 9
  
  Best phone ever.......@@
 
 

   READ MORE
  
",7,3,14-Oct-17
VINODH,7dd06cba3e0d4450b87e31ed5226ccb2,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,4,Nice product,"I have received my phone in good condition... Everything is fine hardware and performance with good camera quality..Vooc charging is working fine With 1.20 min for full charge... But disappointed with the software side options are not good conpared to Mi,  lenovo and samung phones. I suggest oppo to update the os as per the market needs.. Thanks to flipkart
 
 

   READ MORE
  
",7,3,26-Sep-17
Flipkart Customer,f8037010fb8844fba79e3926cc29e3cc,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,1,Worst experience ever!,"It is a worst mobile, too much heat , unable to talk 10 min also.. I never purchase this brand ..no services
 
 

   READ MORE
  
",9,5,23-Aug-17
Flipkart Customer,01e0cffa1c9a46d490dce61aedad2e0e,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,1,Don't waste your money,"Not happy  with features compare the its not a good  choice. Think twice before buy
 
 

   READ MORE
  
",13,9,28-Apr-17
Flipkart Customer,be4ab3310f6f40448020cfc56d73ce36,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,1,Very poor,"Heating issues after 3 weeks of usage. Headset missing. I got for 17k with exchange but today this phone is available for 13.6k with exchange of same my old phone. Ruined my Diwali with such quick price crash. Fooled customers who purchased on big billion sale..
 
 

   READ MORE
  
",28,27,14-Oct-17
Moulieswaran E,6af141cae26d4b7bb9956a3fcd2edddf,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,1,Worst experience ever!,"this is my first review in oppo f3 plus Oct 15 I got my oppo f3 plus it's has an heating issue as well as hanging problem so I give for an replacement today I actually got my replacement mble it was totally waste the same issue bt it's battery is draining more than the previous mble nw ter is no replacement process also n tis mble is having heating issue more than the previous mobile I m really disappointed vth it's utter waste oppo f3 plus
 
 

   READ MORE
  
",4,1,27-Oct-17
anil sonawane,b30f2042dc3b4a9dbfe0ca402d41eeab,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Simply awesome,"The complete smartphone package.
  
  I am using this phone since 1 week and i liked it very much. I always used big brand products and i was thinking whether  to buy it or not but i like specification on paper a lot and with good exchange value i buy this phone.
  
  Now come to point
  
  1.Design it slim and superb looking phn jst like i phn i fall in love with this beuty after i saw it. P
  
  2.Processor is very fast doesnt heat even at high uses while charging also, power managment to good in this processor very good at long day uses.
  
  3.Screen it is large 6"" screen but phn size is nt uncomfortable it is easy to hold for boy atleast,  even though it is tft display it gives u very superior quality of visuals from any angle ppi is very good here for sharo images
  
  4.Camera now come to tag line for this phn sual selfie  camera so not to mention both camera has a good ability to capture good images. You dont need selfie stick any more with his wide angle secondry front camera,  to my suprice rear camera is too good at tgis price and they didnt even advertise about it belive me its better thn front camera and they didnt even mentioned it.
  
  5.Battery as per my thinking i was confused about 4000mah battery for large 6"" display and how long it wiil last but they manage it so well even  after heavy uses like surfing, downloading, wathching movies it last all day. I dindt play games so sorry dnt nw abt tht hw lng it wil last with heavy games.  But for decent user it far more than enough.
  
  6.charger if u ask me charger is best thing i like in this mobile it charge my phn upto 50% in just  30 minutes or less may be i liked it very much nw i dont need to carry power bank just beacause i forget to charge my phn. Now with this charger in very shrt time i will get day long charged phn loving it. Its vooc 4amp 5v charger.
  
  7.Os louncher- its colour Os it was little dificult for me to adjust to this os beacause i never had any chinese phn before but i liked this simple, fast and responsive doest take ram for unworthy stuff like animation widgets and blah blah blah.... It gives u what u need nothing unecessory adede to it keeps phn simple and lag free
  
  8.Music Chip-they didnt even tell us what they used vuts it best music i heard so far with this phn and its headphones its superb feels like uvr living in the musin mesmorising.
  
  So i dont see any flaws with this phn ya but price tag of 25000 makes you reconsider but you got nice exchange offer so it wil be good around 20,000 and to my notice its farrrrrrrr better thn vivo v7+ in every angle. So buy it.
 
 

   READ MORE
  
",4,1,24-Oct-17
Rakesh Chawda,4b8c2f593974428da101c69488b6ce35,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Fabulous!,"Superb deal is given by flipkart. Full of product descriptions,  got mind-blowing buyback money. Geniun product and deliver in time. I am happy. Thank u flipkart.
 
 

   READ MORE
  
",4,1,14-Oct-17
Surendra Bhavanam,7bd83b1f7106427ab15693da381415af,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Super!,"Got at best deal, can't ask for more
 
 

   READ MORE
  
",4,0,14-Oct-17
RIYAZ HUSSAIN,0ac036d296e94ab0baed865565e213e5,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,4,Four Stars,"Mobile Performance is Awesome
  
  Back Camera Is awesome
  
  Earphone Is cheep Quality Ithink 50 Rs Only
  
  Battery Back up Is Ok Not Outstanding
  
  Free gift Selfie stick & Rs20 Photo frame
  
  Ok Not Bad
 
 

   READ MORE
  
",4,1,29-Jul-17
Prashant Mehra,c3eecba7389843f989c8263940d8c570,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Fabulous!,"Awesome smart phone I am loving it
 
 

   READ MORE
  
",4,1,06-Jun-17
